stop_id,stop_name,stop_lat,stop_lon
10311,45-Glenferrie Rd/Wattletree Rd (Malvern),-37.862296736384,145.028194441473
10371,44-Duncraig Ave/Wattletree Rd (Armadale),-37.8618932396197,145.025090664641
1083,42-Clyde St/Raleigh Rd (Maribyrnong),-37.7696986370071,144.898841257316
11285,43-Egerton Rd/Wattletree Rd (Armadale),-37.8615917660895,145.02270030676
1185,50-Vincent St/Wattletree Rd (Malvern East),-37.8643850684538,145.04371198053
12599,42-Kooyong Rd/Wattletree Rd (Armadale),-37.8611885083422,145.019619319081
1291,51-Erica Ave/Wattletree Rd (Malvern East),-37.8647820884121,145.046998020808
1292,38-Renown St/Sydney Rd (Coburg),-37.7316189410946,144.964265699442
13401,28-Punt Rd/High St (Prahran),-37.8507583612407,144.9843709904
13995,44-Barb St/Raleigh Rd (Maribyrnong),-37.7688912370602,144.891984560365
14033,29-Perth St/High St (Prahran),-37.8512067115911,144.987927449006
14614,30-Porter St/High St (Prahran),-37.8513923354106,144.98929759429
14728,31-Chapel St/High St (Prahran),-37.8519512424026,144.993533036311
15559,45-Randall St/Raleigh Rd (Maribyrnong),-37.7686294104152,144.888938214592
15699,32-Bangs St/High St (Prahran),-37.8523538154947,144.99653394762
1575,52-Burke Rd/Wattletree Rd (Malvern East),-37.8650763545021,145.050070824995
16610,33-The Avenue/High St (Prahran),-37.852623378873,144.998606523123
16713,34-Bell St/Sydney Rd (Coburg),-37.7414709211878,144.966469738312
16714,33-Coburg Market/Sydney Rd (Coburg),-37.7432587353562,144.96614843984
16715,32-Munro St/Sydney Rd (Coburg),-37.7450647587307,144.965837974213
16716,31-Reynard St/Sydney Rd (Coburg),-37.7487396573475,144.96520392047
16717,30-The Avenue/Sydney Rd (Coburg),-37.7520732405704,144.96463589898
16718,34-Lewisham Rd/High St (Prahran),-37.8528292112475,145.000112562951
16719,28-Moreland Rd/Sydney Rd (Brunswick),-37.7556402303876,144.964016018802
16720,27-Brunswick Tram Depot/Sydney Rd (Brunswick),-37.7578145712136,144.963638581575
16721,26-Albion St/Sydney Rd (Brunswick),-37.760959175516,144.963086937257
16722,25-Stewart St/Sydney Rd (Brunswick),-37.7632323967908,144.962695373577
16723,24-Brunswick Baptist Church/Sydney Rd (Brunswick),-37.7655776756106,144.962301804823
16724,23-Victoria St/Sydney Rd (Brunswick),-37.7671410623345,144.962031845405
16725,22-Albert St/Sydney Rd (Brunswick),-37.7689470621972,144.961721153568
16726,21-Brunswick Town Hall/Sydney Rd (Brunswick),-37.7716426455656,144.961261128651
16727,20-Barkly Square/115 Sydney Rd (Brunswick),-37.7748418604526,144.960741813361
16728,19-Brunswick Rd/Sydney Rd (Brunswick),-37.7772950185203,144.960333785301
16729,18-Princes Park/Royal Pde (Parkville),-37.779378865496,144.959935880516
16730,17-Ievers St/Royal Pde (Parkville),-37.7818880286246,144.959639798693
16731,16-Visy Park/Royal Pde (Parkville),-37.784855588661,144.959274308767
16732,15-Leonard St/Royal Pde (Parkville),-37.7879310385188,144.958894459914
16733,14-Macarthur Rd/Royal Pde (Parkville),-37.7900168417175,144.958609947437
16734,13-Gatehouse St/Royal Pde (Parkville),-37.7926791219199,144.958309546413
16735,12-Morrah St/Royal Pde (Parkville),-37.7956556771203,144.957943682364
16736,11-University of Melbourne/Royal Pde (Parkville),-37.7982731113992,144.957655817436
16738,35-Williams Rd/High St (Prahran),-37.8531690918207,145.002615157312
16739,36-Chatsworth Rd/High St (Prahran),-37.8537639403415,145.006872572986
16740,37-Airlie Ave/High St (Prahran),-37.8539928730026,145.00868491183
16741,38-Orrong Rd/High St (Prahran),-37.8543864402974,145.011708968351
16742,39-Auburn Gr/High St (Armadale),-37.8548715368821,145.015355721945
16743,40-Armadale Station/High St (Armadale),-37.8552743249116,145.018402337578
